week_end,week_label,market,investor,basis,sales,purchases,balance
2024-12-30,2024年12月第5週,二市場,その他法人等,金額,4040.702,12895.417,8854.715
2024-12-30,2024年12月第5週,二市場,その他金融機関,金額,1119.089,867.091,-251.998
2024-12-30,2024年12月第5週,二市場,事業法人,金額,30450.178,30271.661,-178.517
2024-12-30,2024年12月第5週,二市場,信託銀行,金額,45005.208,76314.033,31308.825
2024-12-30,2024年12月第5週,二市場,個人,金額,1162090.778,1293673.951,131583.173
2024-12-30,2024年12月第5週,二市場,委託計,金額,3666502.016,3728773.132,62271.116
2024-12-30,2024年12月第5週,二市場,投資信託,金額,115048.347,71608.269,-43440.078
2024-12-30,2024年12月第5週,二市場,法人,金額,197385.043,192111.892,-5273.151
2024-12-30,2024年12月第5週,二市場,海外投資家,金額,2295893.467,2230170.102,-65723.365
2024-12-30,2024年12月第5週,二市場,生保・損保,金額,22.726,27.553,4.827
2024-12-30,2024年12月第5週,二市場,総計,金額,4147024.594,4149113.163,2088.569
2024-12-30,2024年12月第5週,二市場,自己計,金額,480522.578,420340.031,-60182.547
2024-12-30,2024年12月第5週,二市場,証券会社,金額,11132.728,12817.187,1684.459
2024-12-30,2024年12月第5週,二市場,都銀・地銀等,金額,1698.793,127.868,-1570.925
2024-12-30,2024年12月第5週,二市場,金融機関,金額,47845.816,77336.545,29490.729
2024-12-30,2024年12月第5週,東証グロース,その他法人等,金額,372.805,287.999,-84.806
2024-12-30,2024年12月第5週,東証グロース,その他金融機関,金額,0.258,16.194,15.936
2024-12-30,2024年12月第5週,東証グロース,事業法人,金額,754.469,821.789,67.32
2024-12-30,2024年12月第5週,東証グロース,信託銀行,金額,218.569,1075.931,857.362
2024-12-30,2024年12月第5週,東証グロース,個人,金額,67568.484,72281.443,4712.959
2024-12-30,2024年12月第5週,東証グロース,委託計,金額,121374.419,121967.524,593.105
2024-12-30,2024年12月第5週,東証グロース,投資信託,金額,519.495,491.082,-28.413
2024-12-30,2024年12月第5週,東証グロース,法人,金額,1865.596,2692.995,827.399
2024-12-30,2024年12月第5週,東証グロース,海外投資家,金額,51241.302,46379.94,-4861.362
2024-12-30,2024年12月第5週,東証グロース,生保・損保,金額,0.0,0.0,0.0
2024-12-30,2024年12月第5週,東証グロース,総計,金額,127002.33,127062.022,59.692
2024-12-30,2024年12月第5週,東証グロース,自己計,金額,5627.911,5094.498,-533.413
2024-12-30,2024年12月第5週,東証グロース,証券会社,金額,699.037,613.146,-85.891
2024-12-30,2024年12月第5週,東証グロース,都銀・地銀等,金額,0.0,0.0,0.0
2024-12-30,2024年12月第5週,東証グロース,金融機関,金額,218.827,1092.125,873.298
2024-12-30,2024年12月第5週,東証スタンダード,その他法人等,金額,428.931,1084.652,655.721
2024-12-30,2024年12月第5週,東証スタンダード,その他金融機関,金額,0.05,1.388,1.338
2024-12-30,2024年12月第5週,東証スタンダード,事業法人,金額,3050.731,2850.891,-199.84
2024-12-30,2024年12月第5週,東証スタンダード,信託銀行,金額,518.75,1145.82,627.07
2024-12-30,2024年12月第5週,東証スタンダード,個人,金額,58385.892,60511.166,2125.274
2024-12-30,2024年12月第5週,東証スタンダード,委託計,金額,114087.384,115310.016,1222.632
2024-12-30,2024年12月第5週,東証スタンダード,投資信託,金額,517.327,1102.573,585.246
2024-12-30,2024年12月第5週,東証スタンダード,法人,金額,4521.109,6185.324,1664.215
2024-12-30,2024年12月第5週,東証スタンダード,海外投資家,金額,50418.545,48013.189,-2405.356
2024-12-30,2024年12月第5週,東証スタンダード,生保・損保,金額,0.0,0.0,0.0
2024-12-30,2024年12月第5週,東証スタンダード,総計,金額,121117.409,121004.204,-113.205
2024-12-30,2024年12月第5週,東証スタンダード,自己計,金額,7030.025,5694.188,-1335.837
2024-12-30,2024年12月第5週,東証スタンダード,証券会社,金額,761.838,600.337,-161.501
2024-12-30,2024年12月第5週,東証スタンダード,都銀・地銀等,金額,5.32,0.0,-5.32
2024-12-30,2024年12月第5週,東証スタンダード,金融機関,金額,524.12,1147.208,623.088
2024-12-30,2024年12月第5週,東証プライム,その他法人等,金額,3237.51,11504.219,8266.709
2024-12-30,2024年12月第5週,東証プライム,その他金融機関,金額,1118.781,849.508,-269.273
2024-12-30,2024年12月第5週,東証プライム,事業法人,金額,26638.393,26595.927,-42.466
2024-12-30,2024年12月第5週,東証プライム,信託銀行,金額,44264.255,74091.937,29827.682
2024-12-30,2024年12月第5週,東証プライム,個人,金額,1035708.17,1160468.093,124759.923
2024-12-30,2024年12月第5週,東証プライム,委託計,金額,3430590.584,3491042.237,60451.653
2024-12-30,2024年12月第5週,東証プライム,投資信託,金額,114011.52,70014.609,-43996.911
2024-12-30,2024年12月第5週,東証プライム,法人,金額,190986.344,183211.621,-7774.723
2024-12-30,2024年12月第5週,東証プライム,海外投資家,金額,2194226.506,2135772.845,-58453.661
2024-12-30,2024年12月第5週,東証プライム,生保・損保,金額,22.726,27.553,4.827
2024-12-30,2024年12月第5週,東証プライム,総計,金額,3898447.816,3900589.085,2141.269
2024-12-30,2024年12月第5週,東証プライム,自己計,金額,467857.232,409546.848,-58310.384
2024-12-30,2024年12月第5週,東証プライム,証券会社,金額,9669.564,11589.678,1920.114
2024-12-30,2024年12月第5週,東証プライム,都銀・地銀等,金額,1693.159,127.868,-1565.291
2024-12-30,2024年12月第5週,東証プライム,金融機関,金額,47098.921,75096.866,27997.945
2025-01-10,2025年1月第1週,二市場,その他法人等,金額,43817.044,65527.943,21710.899
2025-01-10,2025年1月第1週,二市場,その他金融機関,金額,19103.336,30378.605,11275.269
2025-01-10,2025年1月第1週,二市場,事業法人,金額,224761.37,550436.285,325674.915
2025-01-10,2025年1月第1週,二市場,信託銀行,金額,846600.738,314724.635,-531876.103
2025-01-10,2025年1月第1週,二市場,個人,金額,6411912.98,7139662.694,727749.714
